measure,metric,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,kpca-sig,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,saucie,snmf,spca,spca-batch,spectral,srp,tsvd,umap,vasc,vpac,zifa,overall
vrc,euclidean,0.24774350605733658,0.39055414462038374,0.44766287971826135,0.15241701126867646,0.31534060046542806,0.3597151375453887,0.2894050466671275,0.3188022300326413,0.3976121567763092,0.2034460364241751,0.29720417234762453,0.299368441127273,0.3393798426689666,0.2843507782871887,0.41304790934162516,0.381879857766035,0.40162799053304366,0.2807738001854052,0.2759511926143703,0.36664077808162804,0.5272768462812966,0.32801853958212895,-0.0011999079357682934,0.36330469639339064,0.37592448860537153,0.31113216491723256,0.34182218270362136,0.0953435772908116,0.3379980099489199,0.41014370224764846,0.4557420750784768,0.27297551130822534,0.41952907590063626,0.32427074166214787
vrc,seuclidean,0.3080481674542438,0.36377640942990896,0.4457212918880575,0.15743086499571063,0.32461645957937596,0.3840474692000316,0.295750605611558,0.3454906407365426,0.4044807933700645,0.21635752868430702,0.3108390677582757,0.2967073812757235,0.3415780788855675,0.2814189181636444,0.42221986671858697,0.3877096195748397,0.39731501453826995,0.2601695621460422,0.27135498526622576,0.39429479730376904,0.5265682901986694,0.3403223024147127,-0.0021226586990952144,0.37365674103199575,0.3930980251232991,0.3143658819374548,0.3443695705190884,0.08680855370322621,0.3640372651162417,0.43720669380594,0.45999278498512,0.26701715596964265,0.4287129543924701,0.33161700251756093
vrc,cosine,0.32713347610681465,0.37749658713712314,0.3854777554780615,0.16374617907055825,0.3011178887148536,0.3096041989297318,0.31940437043352876,0.3444292306768301,0.4084584140721264,0.21336091504395777,0.3275737830035321,0.36495723308113825,0.3300721534968439,0.2857318382057399,0.36252360098972575,0.3784765821285858,0.3645753133652366,0.2428290536450663,0.26042251831486357,0.31784179051191047,0.5035707160660955,0.3033261923029068,-0.0013987863180693653,0.34984536217512074,0.3216404786655644,0.3003291318345995,0.3397265216404478,0.1606351861240901,0.27726652997862306,0.4216597049086868,0.4566985485419651,0.26503646932714214,0.38741710379834227,0.3173026073167195
vrc,correlation,0.2750442951514999,0.39035294233047796,0.37092646405201624,0.14580739214053426,0.34261958750490734,0.2475272106780595,0.28455944190383015,0.33119779132194943,0.3938724083542699,0.20315107829637366,0.3374605289320489,0.3320025142923931,0.30026692293204527,0.3201957699682019,0.2502867319438752,0.36356723775891386,0.30946284285485137,0.20796579004427285,0.2484222459310655,0.2806258220626623,0.49904466056734315,0.23975852848702114,-0.0009454085506539392,0.2929688980906534,0.2751956644260804,0.28373018303865066,0.29981751749162006,0.14605830497812297,0.30233547798721316,0.4129205726528945,0.26511815743972683,0.26503661574793974,0.34185527446931374,0.2896427110690962
ss,euclidean,0.11655722607260288,0.1675399926036311,0.15948422456968123,0.06559510105693073,0.06194551596906204,0.20753133173236019,0.1784564652195236,0.24796689654064472,0.38743930307288765,0.03332303254339906,0.05989985278747499,0.20230253140996898,0.3369257639366307,0.2311090606700275,0.38372922592574127,0.2184765330511142,0.17080371551795134,0.1264131038717395,0.26757580001462483,0.22418967372156537,0.4306627622637403,0.24485415775911584,-0.0015440596093475682,0.11602494243595021,0.20757266380575518,0.12419140461045475,0.3423458293197232,0.05534714275227264,0.1684085029583691,0.379242577297937,0.41044653220122423,0.263224836062014,0.3636666870240283,0.21065782815663028
ss,seuclidean,0.18544299917046764,0.15286892100681648,0.1629887270390883,0.060006722067790265,0.08242580343668776,0.17068815581652108,0.16261103530201523,0.2586983735791229,0.3264154175410326,0.06446489733316242,0.060484407583480865,0.18054023963368673,0.2977160749362633,0.24974154250882788,0.38228661136974706,0.2665756776787725,0.1982853429046501,0.13924082167733537,0.23070069632013915,0.1512861574913417,0.2609036430548954,0.27932444499166137,-0.0012051631942224816,0.2243726725822044,0.15728239142821138,0.15075460542938493,0.34130248517465617,0.019439040377341,0.14730977667251863,0.3568900304156365,0.4151230262166927,0.26543876527599825,0.3111458212446003,0.203380308002016
ss,cosine,0.08336733281655617,0.36358759559291687,0.35087005550893235,0.10043543388144582,0.2767003725144138,0.30843367999515886,0.30806375360614724,0.33325169653367953,0.40346657304163996,0.11667211856250868,0.31905658077360216,0.3977210453503052,0.3223271858832958,0.20732375572782064,0.3498544721979474,0.08963182413460881,0.30320541073943164,0.24786807259325375,0.27173326665785813,0.32039733530549014,0.5071287451340287,0.3504090594754164,-0.0009207334175809981,0.2853580119855161,0.3283507226024772,0.28562425650519335,0.35332677504603466,0.11734960148180848,0.26021905642683973,0.3734546855446446,0.43972721303386303,0.26121868956700833,0.3887159731476058,0.28557362478635967
ss,correlation,0.2868897354320026,0.2121688444693737,0.16607962247359745,0.04511410714069397,0.2974819161231473,0.1609617011278017,0.18249777986375693,0.2196690013962876,0.21038466147397594,0.08815991012925492,0.054979113357036764,0.21037144772754285,0.2421809503453986,0.1661544977033533,0.03348844489091047,0.18084065895424856,0.15498738721353025,0.14367823196208415,0.1796037840124415,0.18051310947848265,0.19735096801262586,0.20502552070792698,0.0013233640871159432,0.16072460465812316,0.14580962494894562,0.18097669934272015,0.15993573158381347,0.09690305999780334,0.18863158162342164,0.21593634986060195,0.21730964481667253,0.2680270930619958,0.23489385836200458,0.17239554564662704
dbs,euclidean,0.11072052113695817,0.1650323512771186,0.1541579567456363,0.08241100772384384,0.10069110891633147,0.15126010600652015,0.14303254781120928,0.21538757561741545,0.23301595899394795,0.10561925467440417,0.1159737593054959,0.15005197961239858,0.30090013710285407,0.18584901855270478,0.16317734401848866,0.2884107614888232,0.17007564597749555,0.14745411834978273,0.15003132313338546,0.18149709489239005,0.193198830555745,0.17700974042512282,-0.0006601022165134928,0.15294121181824238,0.18454121409281138,0.1468379895315076,0.26244158691408465,0.05192782194496771,0.15697517983740378,0.33540789480404,0.1650965624724942,0.271405683523504,0.2507379988510357,0.17159427829974697
dbs,seuclidean,0.1495833522584134,0.16382828797521698,0.15323380666174066,0.07941472282698135,0.13332503695473502,0.1488161661614436,0.1199498843345829,0.22353352124368744,0.21901019424089285,0.14785804969220553,0.12300759018976844,0.16476596994605963,0.3059491060555287,0.20378857777248355,0.17607729898060026,0.2512705798695941,0.17742212670049165,0.17389764760117013,0.1757722288096939,0.168081500705953,0.18354265481324783,0.1771007539637669,-0.00149660421383952,0.1705449869530116,0.1690508396974256,0.1482759325736581,0.2673708248188731,0.04292750396785495,0.161235034289692,0.33125417229966914,0.19439805727496887,0.27140568352350397,0.24704075683904755,0.17640109835703405
